"","zipcode","date","hour_of_day","policy_active","traffic_index","cars_requested","cars_available","mean_price","std_price","zipcode_type","major_city","post_office_city","common_city_list","county","state","lat","lng","timezone","radius_in_miles","area_code_list","population","population_density","land_area_in_sqmi","water_area_in_sqmi","housing_units","occupied_housing_units","median_home_value","median_household_income","bounds_west","bounds_east","bounds_north","bounds_south"
"1","92679",2023-09-29,8,1,61.0866307589559,19,25,45.3745814621401,3.32762344486226,"Standard","Trabuco Canyon","Trabuco Canyon, CA",<raw>,"Orange County","CA",33.6,-117.5,"Pacific",9,<raw>,32611,1442,22.62,0.02,10751,10497,730800,142803,-117.645231,-117.532314,33.700293,33.550537
"2","92052",2023-04-09,18,1,72.2332329525871,19,24,56.9648041638121,6.37545154944652,"PO Box","Oceanside",NA,<raw>,"San Diego County","CA",NA,NA,NA,NA,<raw>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","92564",2023-11-26,5,1,54.9439424259497,18,27,54.4364065128266,4.92390996247049,"PO Box","Murrieta",NA,<raw>,"Riverside County","CA",NA,NA,NA,NA,<raw>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","91363",2023-03-15,13,1,51.3748895581095,18,24,51.3114065871676,4.1649759336052,"Unique","Thousand Oaks",NA,<raw>,"Los Angeles County","CA",NA,NA,NA,NA,<raw>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","95387",2023-06-29,5,0,37.854047238553,22,25,51.8325690462779,7.86182775798035,"PO Box","Westley","Westley, CA",<raw>,"Stanislaus County","CA",37.549,-121.2,"Pacific",0.113636363636364,<raw>,636,5,115.89,0.03,189,173,273300,43480,-121.486775,-121.180175,37.607397,37.433796
"6","94177",2023-01-17,9,1,48.1952350500397,21,22,35.2447304445896,1.99514915211994,"Unique","San Francisco",NA,<raw>,"San Francisco County","CA",NA,NA,NA,NA,<raw>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","95703",2023-01-21,6,0,31.7535861860586,19,24,56.493490414269,0.231491962301747,"Standard","Applegate","Applegate, CA",<raw>,"Placer County","CA",38.99,-121,"Pacific",2,<raw>,897,202,4.45,0,374,342,305400,75217,-121.02004,-120.95384,39.034502,38.95671
"8","93009",2023-05-25,4,1,56.1444570658207,22,22,60.6499301617984,3.88218890051097,"Unique","Ventura",NA,<raw>,"Ventura County","CA",NA,NA,NA,NA,<raw>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","90840",2023-01-20,11,1,40.8514768245147,15,40,59.028568371125,7.17984123679053,"Unique","Long Beach",NA,<raw>,"Los Angeles County","CA",NA,NA,NA,NA,<raw>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","95514",2023-04-30,13,1,70.5114956789875,17,24,40.8223748339926,2.80585753848848,"Standard","Blocksburg","Blocksburg, CA",<raw>,"Humboldt County","CA",40.3,-123.7,"Pacific",11,<raw>,254,3,86.7,0.22,136,107,252500,20625,-123.762434,-123.555372,40.415426,40.165543
